Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
89	349.80698	0.0	349.80698	349.80698	1000.0	24.390203	2.648407	29.819357	5.037235	90000	-0.08762515	161.11772	-0.0013787746	-92.20503	2.215228	0.000637787	1761.2284944057465
90	342.8692	0.0	342.8692	342.8692	1000.0	33.228607	3.7306848	39.30032	10.901848	91000	-0.09978266	101.37361	-0.0063073635	-9.58535	2.134439	0.0061355787	1784.0610082149506
91	351.29834	0.0	351.29834	351.29834	1000.0	35.180176	4.022957	43.582542	10.605286	92000	-0.07007474	92.30198	-0.0011729747	-8.4212265	2.1463618	0.0008144767	1803.676831483841
92	258.5253	0.0	258.5253	258.5253	1000.0	33.194157	3.4806168	41.881516	12.646074	93000	0.023510586	154.52449	-0.0028010905	-47.58889	2.1339648	0.0017219231	1824.4417831897736
93	278.2138	0.0	278.2138	278.2138	1000.0	25.640707	4.23477	37.433025	6.4428267	94000	0.050252065	73.397766	-0.005998403	-4.662796	2.07285	0.0019600636	1842.830061674118
94	380.5182	0.0	380.5182	380.5182	1000.0	34.120243	2.641925	40.357708	15.520215	95000	-0.099210344	118.464775	-0.0030985996	-24.229462	2.151111	0.002321482	1861.1405675411224
95	271.21844	0.0	271.21844	271.21844	1000.0	36.305748	4.3259687	45.01043	15.296804	96000	0.00078642275	129.57344	-0.0037279387	-64.30009	2.0993567	0.0016364126	1879.8730833530426
96	307.84253	0.0	307.84253	307.84253	1000.0	26.191992	3.570457	34.58429	9.527023	97000	-0.0017633515	106.377716	-0.0019453773	-24.771584	2.0646782	-0.00082031195	1898.1052129268646
97	272.60028	0.0	272.60028	272.60028	1000.0	35.160324	2.7456408	41.859276	13.1852455	98000	-0.060968466	167.1042	-0.0063890293	-45.927887	2.1036837	0.008230896	1916.3831672668457
98	378.31216	0.0	378.31216	378.31216	1000.0	27.458254	4.1354914	34.643147	10.831333	99000	-0.10959096	239.49615	-0.0045676604	-101.19466	2.0144205	0.0023004804	1934.6357786655426
99	270.6201	0.0	270.6201	270.6201	1000.0	33.926285	3.5474455	41.26865	12.578068	100000	-0.0007204509	107.69786	-0.002250846	-40.19889	2.016871	0.0013646652	1952.97496342659
100	302.63626	0.0	302.63626	302.63626	1000.0	30.351618	3.785698	38.623238	14.037367	101000	-0.02515419	87.77022	-0.007103348	-12.225563	2.1034439	0.006658843	1971.9996030330658
101	190.67455	0.0	190.67455	190.67455	1000.0	29.209888	3.5733979	36.038734	12.843432	102000	0.0054475823	124.91596	-0.0058017066	-101.01224	2.026274	0.008760008	1990.3060524463654
102	397.5096	0.0	397.5096	397.5096	1000.0	21.421453	3.887267	28.865896	8.468895	103000	0.02821921	463.0881	0.00024017878	-352.2295	2.007177	0.0021129118	2008.6516571044922
103	474.94165	0.0	474.94165	474.94165	1000.0	41.317688	2.8465967	48.004684	22.655031	104000	-0.013201728	228.29565	-0.0008828053	-43.547882	2.0472176	-1.2198687e-05	2027.1116976737976
104	390.21927	0.0	390.21927	390.21927	1000.0	45.333897	4.364675	54.761364	22.672852	105000	-0.05889849	215.68657	-0.0035359561	-67.39186	2.018787	0.0007262588	2046.6926853656769
105	307.85663	0.0	307.85663	307.85663	1000.0	41.041496	3.5350037	48.201923	16.318806	106000	-0.047867768	153.99539	-0.0013990812	-86.19928	2.0139868	0.0025812888	2065.3619678020477
106	395.63394	0.0	395.63394	395.63394	1000.0	26.81402	4.5928073	35.944054	9.305098	107000	-0.013209991	300.60083	-0.0020436402	-149.65245	2.041106	-0.0012602845	2083.8563137054443
107	381.43372	0.0	381.43372	381.43372	1000.0	39.61451	4.894642	48.40396	20.66808	108000	-0.064246	296.3213	-0.0018672422	-36.37146	1.9489647	0.0007199222	2102.248735189438
108	332.36823	0.0	332.36823	332.36823	1000.0	43.56601	3.3215501	50.181667	19.151728	109000	-0.096563034	191.22176	-0.0074601173	-65.737144	1.9750657	0.0039617075	2120.648050546646
109	350.76715	0.0	350.76715	350.76715	1000.0	35.042366	3.1390753	41.535007	15.329679	110000	-0.0543777	46.120426	-0.0022487268	-1.2663307	1.9564941	0.0035895784	2139.0670149326324
110	523.0424	0.0	523.0424	523.0424	1000.0	34.854828	2.8153913	41.087177	18.484745	111000	-0.058856938	449.34134	-0.0038858168	-229.4521	1.9162256	0.0031253358	2158.9464650154114
111	428.39807	0.0	428.39807	428.39807	1000.0	45.168205	5.433152	55.23484	24.138067	112000	-0.11487337	49.31776	-0.0034922808	-5.566471	1.9406142	8.892804e-05	2177.526733160019
112	405.0059	0.0	405.0059	405.0059	1000.0	41.79339	5.8251953	51.906628	17.84394	113000	-0.02135323	156.7995	-0.011441197	-19.587128	1.858718	0.0026385875	2195.907287836075
113	426.50098	0.0	426.50098	426.50098	1000.0	46.132637	2.7698083	51.675877	20.413046	114000	-0.03264829	169.00064	-0.0023113936	-31.456238	1.8621722	0.005044197	2214.6576364040375
114	347.72842	0.0	347.72842	347.72842	1000.0	35.660194	5.0489063	44.888874	23.26642	115000	-0.051668923	84.756485	-0.004003424	-3.3483505	1.920386	0.0022470052	2233.019584417343
115	372.61334	0.0	372.61334	372.61334	1000.0	35.29895	4.139932	43.85368	22.897387	116000	-0.016162252	143.0922	-0.00342842	-15.227425	1.8981125	0.0007937049	2251.3948726654053
116	471.49588	0.0	471.49588	471.49588	1000.0	41.73318	3.7157872	48.103798	26.953094	117000	-0.06937599	100.506966	-0.0078079253	-24.243156	1.7750773	0.0014138641	2269.8402650356293
117	400.93515	0.0	400.93515	400.93515	1000.0	42.483307	4.440074	52.1594	23.449917	118000	-0.04262742	90.27266	-0.0050390474	-4.715126	1.7561324	0.0017579682	2288.3423175811768
118	432.993	0.0	432.993	432.993	1000.0	46.080376	2.3331878	51.144974	29.113646	119000	-0.028574416	49.280113	-0.004429346	-3.4718132	1.769148	0.009542811	2306.7599539756775
